w,x,y,z
1,-0.002,-0.004,0.001
1,-0.005,-0.013,0.003
1,-0.005,-0.016,0.004
1,-0.008,-0.025,0.007
0.996,-0.01,-0.093,0.01
0.993,-0.011,-0.115,0.012
0.993,-0.011,-0.12,0.012
0.99,-0.013,-0.139,0.015
0.997,-0.009,-0.08,0.01
0.994,-0.002,0.111,-0.001
0.96,0.005,0.278,-0.011
0.904,0.014,0.426,-0.019
0.849,0.023,0.528,-0.023
0.794,0.028,0.607,-0.028
0.703,0.033,0.709,-0.039
0.659,0.041,0.749,-0.047
0.632,0.058,0.772,-0.037
0.622,0.069,0.78,-0.022
0.622,0.072,0.78,-0.026
0.631,0.07,0.772,-0.034
0.645,0.068,0.76,-0.039
0.689,0.069,0.72,-0.042
0.758,0.062,0.648,-0.043
0.84,0.047,0.54,-0.039
0.904,0.034,0.426,-0.032
0.962,0.019,0.272,-0.022
0.989,0.005,0.151,-0.005
0.999,-0.012,0.051,0.008
0.999,-0.021,0.032,0.01
0.999,-0.017,0.043,0.006
0.999,-0.016,0.05,0.003
0.998,-0.015,0.064,-0.002
0.997,-0.014,0.074,-0.006
0.998,-0.017,0.066,-0.004
0.998,-0.02,0.062,-0.003
0.998,-0.018,0.063,-0.004
0.998,-0.018,0.06,-0.005
0.998,-0.018,0.058,-0.005
0.998,-0.019,0.057,-0.004
0.998,-0.02,0.054,-0.004
0.998,-0.019,0.055,-0.004
0.998,-0.02,0.054,-0.004
0.998,-0.02,0.055,-0.005
0.998,-0.02,0.055,-0.005
0.998,-0.02,0.06,-0.005
0.998,-0.021,0.062,-0.006
0.998,-0.02,0.062,-0.007
1,-0.017,0.024,-0.007
0.99,-0.027,-0.141,0.005
0.935,-0.05,-0.35,0.024
0.891,-0.082,-0.443,0.053
0.88,-0.099,-0.458,0.08
0.881,-0.098,-0.453,0.095
0.88,-0.109,-0.452,0.101
0.881,-0.113,-0.448,0.101
0.884,-0.116,-0.442,0.097
0.893,-0.111,-0.428,0.089
0.919,-0.103,-0.374,0.064
0.953,-0.097,-0.284,0.038
0.988,-0.088,-0.125,0.021
0.997,-0.08,-0.001,0.011
0.992,-0.076,0.105,-0.006
0.984,-0.077,0.158,-0.021
0.971,-0.078,0.224,-0.033
0.97,-0.077,0.229,-0.037
0.972,-0.075,0.218,-0.036
0.97,-0.074,0.229,-0.038
0.969,-0.073,0.234,-0.037
0.971,-0.075,0.222,-0.037
0.975,-0.075,0.207,-0.035
0.978,-0.077,0.189,-0.033
0.979,-0.077,0.183,-0.033
0.981,-0.078,0.176,-0.032
0.981,-0.079,0.173,-0.033
0.981,-0.079,0.171,-0.033
0.983,-0.079,0.163,-0.032
0.984,-0.076,0.16,-0.032
0.984,-0.074,0.162,-0.032
0.977,-0.064,0.199,-0.031
0.955,-0.046,0.292,-0.035
0.904,-0.025,0.425,-0.043
0.848,-0.008,0.528,-0.055
0.775,0.012,0.626,-0.083
0.728,0.041,0.677,-0.101
0.703,0.056,0.701,-0.106
0.695,0.058,0.709,-0.107
0.693,0.057,0.71,-0.106
0.695,0.055,0.709,-0.108
0.703,0.052,0.701,-0.11
0.734,0.041,0.67,-0.107
0.774,0.031,0.624,-0.109
0.81,0.024,0.578,-0.101
0.888,0.007,0.454,-0.08
0.945,-0.014,0.32,-0.059
0.99,-0.039,0.136,-0.029
0.998,-0.055,-0.007,-0.003
0.992,-0.066,-0.103,0.011
0.989,-0.075,-0.123,0.017
0.991,-0.076,-0.112,0.018
0.991,-0.076,-0.106,0.016
0.992,-0.077,-0.103,0.016
0.992,-0.077,-0.095,0.015
0.993,-0.077,-0.091,0.015
0.994,-0.077,-0.081,0.015
0.993,-0.08,-0.084,0.017
0.994,-0.079,-0.075,0.015
0.995,-0.078,-0.067,0.014
0.996,-0.078,-0.046,0.014
0.996,-0.079,-0.034,0.014
0.997,-0.077,-0.007,0.011
0.997,-0.072,0.041,0.003
0.996,-0.071,0.062,-0.001
0.998,-0.067,0.018,-0.004
0.996,-0.062,-0.064,-0.01
0.986,-0.067,-0.15,-0.01
0.944,-0.069,-0.323,-0.003
0.875,-0.095,-0.475,0.019
0.85,-0.122,-0.51,0.048
0.844,-0.131,-0.515,0.078
0.842,-0.13,-0.514,0.094
0.841,-0.135,-0.514,0.097
0.842,-0.141,-0.511,0.099
0.843,-0.139,-0.51,0.101
0.845,-0.139,-0.506,0.101
0.849,-0.136,-0.502,0.097
0.858,-0.125,-0.49,0.091
0.887,-0.122,-0.441,0.07
0.923,-0.123,-0.363,0.043
0.969,-0.124,-0.213,0.014
0.992,-0.116,-0.046,-0.008
0.991,-0.111,0.076,-0.022
0.985,-0.106,0.136,-0.031
0.985,-0.103,0.133,-0.034
0.985,-0.103,0.136,-0.034
0.987,-0.104,0.117,-0.031
0.988,-0.106,0.107,-0.03
0.988,-0.109,0.101,-0.028
0.987,-0.11,0.116,-0.031
0.987,-0.11,0.11,-0.029
0.987,-0.109,0.112,-0.029
0.987,-0.109,0.114,-0.032
0.988,-0.109,0.106,-0.032
0.988,-0.109,0.099,-0.033
0.988,-0.109,0.102,-0.032
0.987,-0.106,0.113,-0.033
0.985,-0.091,0.143,-0.034
0.966,-0.063,0.246,-0.044
0.905,-0.03,0.42,-0.06
0.833,-0.003,0.549,-0.072
0.789,0.018,0.608,-0.089
0.76,0.031,0.641,-0.101
0.744,0.031,0.659,-0.103
0.742,0.02,0.662,-0.099
0.743,0.018,0.662,-0.097
0.746,0.016,0.658,-0.098
0.75,0.013,0.653,-0.101
0.754,0.012,0.649,-0.1
0.757,0.013,0.646,-0.101
0.768,0.011,0.632,-0.103
0.811,0.007,0.576,-0.098
0.857,0.002,0.507,-0.088
0.912,-0.011,0.403,-0.074
0.96,-0.031,0.27,-0.059
0.992,-0.054,0.109,-0.043
0.997,-0.076,-0.014,-0.025
0.991,-0.088,-0.095,-0.008
0.988,-0.094,-0.122,0
0.987,-0.097,-0.129,0.002
0.986,-0.099,-0.134,0.003
0.987,-0.099,-0.128,0.002
0.987,-0.098,-0.126,0.002
0.988,-0.098,-0.123,0.001
0.988,-0.098,-0.124,0.001
0.988,-0.097,-0.122,0
0.989,-0.096,-0.117,-0.002
0.989,-0.095,-0.111,-0.002
0.99,-0.096,-0.108,-0.003
0.992,-0.095,-0.088,-0.005
0.994,-0.093,-0.051,-0.012
0.996,-0.086,-0.004,-0.019
0.996,-0.084,-0.031,-0.017
0.986,-0.088,-0.138,-0.007
0.959,-0.09,-0.269,0.002
0.922,-0.095,-0.374,0.009
0.892,-0.106,-0.439,0.02
0.874,-0.112,-0.473,0.025
0.85,-0.125,-0.51,0.043
0.839,-0.134,-0.524,0.063
0.837,-0.136,-0.524,0.081
0.838,-0.132,-0.523,0.081
0.843,-0.129,-0.516,0.076
0.873,-0.122,-0.469,0.058
0.906,-0.118,-0.405,0.035
0.952,-0.113,-0.284,0.013
0.981,-0.112,-0.16,0.005
0.994,-0.107,-0.028,-0.008
0.994,-0.1,0.029,-0.015
0.994,-0.098,0.053,-0.02
0.993,-0.099,0.053,-0.023
0.994,-0.097,0.05,-0.022
0.994,-0.093,0.052,-0.02
0.994,-0.094,0.052,-0.017
0.994,-0.096,0.047,-0.014
0.994,-0.099,0.043,-0.013
